Episode no = 1700; won: False; Q(s,a) = 110.77720409154438; reward = -199.0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2023-04-20 15:09:56
Episode no = 1710; won: False; Q(s,a) = 125.18413181294774; reward = -327.0; and epsilon = 0.772, win percentage = 0.0, 2023-04-20 15:10:00
Episode no = 1720; won: False; Q(s,a) = 114.54928136080805; reward = -373.0; and epsilon = 0.7706666666666666, win percentage = 0.0, 2023-04-20 15:10:06
Episode no = 1730; won: False; Q(s,a) = 109.77293194480083; reward = -408.0; and epsilon = 0.7693333333333333, win percentage = 0.0, 2023-04-20 15:10:13
Episode no = 1740; won: False; Q(s,a) = 113.43896361396105; reward = -448.0; and epsilon = 0.768, win percentage = 0.0, 2023-04-20 15:10:17
Episode no = 1750; won: False; Q(s,a) = 108.08127249570683; reward = -430.0; and epsilon = 0.7666666666666666, win percentage = 0.0, 2023-04-20 15:10:21
Episode no = 1760; won: False; Q(s,a) = 172.80993433316482; reward = -455.0; and epsilon = 0.7653333333333333, win percentage = 0.0, 2023-04-20 15:10:25
Episode no = 1770; won: False; Q(s,a) = 115.18388478881656; reward = -258.0; and epsilon = 0.764, win percentage = 0.0, 2023-04-20 15:10:33
Episode no = 1780; won: False; Q(s,a) = 117.92006047313616; reward = -420.0; and epsilon = 0.7626666666666666, win percentage = 0.0, 2023-04-20 15:10:42
Episode no = 1790; won: False; Q(s,a) = 129.90180962273445; reward = -342.0; and epsilon = 0.7613333333333333, win percentage = 0.0, 2023-04-20 15:10:48
Episode no = 1800; won: False; Q(s,a) = 111.37641284035483; reward = -245.0; and epsilon = 0.76, win percentage = 0.0, 2023-04-20 15:10:54
Episode no = 1810; won: False; Q(s,a) = 117.29998258220301; reward = -296.0; and epsilon = 0.7586666666666666, win percentage = 0.0, 2023-04-20 15:10:59
Episode no = 1820; won: False; Q(s,a) = 115.50647542584085; reward = -429.0; and epsilon = 0.7573333333333333, win percentage = 0.0, 2023-04-20 15:11:03
Episode no = 1830; won: False; Q(s,a) = 119.21210944456772; reward = -325.0; and epsilon = 0.756, win percentage = 0.0, 2023-04-20 15:11:09
Episode no = 1840; won: False; Q(s,a) = 116.76570519568946; reward = -244.0; and epsilon = 0.7546666666666667, win percentage = 0.0, 2023-04-20 15:11:15
Episode no = 1850; won: False; Q(s,a) = 114.0448883519826; reward = -221.0; and epsilon = 0.7533333333333333, win percentage = 0.0, 2023-04-20 15:11:21
